Name;2019;2020;2021;2022;2023;2024
  г. Орел;16009067;16808250;17802020;18810387;19118264;22207497
  г. Ливны;3062047;3121507;3227619;3389651;3245078;3620937
  г. Мценск;1273056;1194175;1153953;1186524;1580391;1751809
  Орловский муниципальный район;1796743;1870461;2323279;2385791;2466097;2890833
  Болховский муниципальный район;360158;386976;430496;465615;432013;445862
  Верховский муниципальный район;450954;460045;400021;402875;379405;391505
  Глазуновский муниципальный район;290797;393943;387124;404552;396604;403350
  Дмитровский муниципальный район;434913;472081;457533;465880;488686;499248
  Должанский муниципальный район;506418;517482;511399;481265;485461;493024
  Залегощенский муниципальный район;522780;526831;469430;499625;533527;549878
  Знаменский муниципальный район;271545;274615;286881;289477;271573;269282
  Колпнянский муниципальный район;358479;351271;475652;489958;517928;622527
  Краснозоренский муниципальный район;300116;311508;312624;317447;295643;315071
  Кромской муниципальный район;770021;811941;800073;988380;936546;1090074
  Корсаковский муниципальный район;172955;174357;181133;190382;180928;184493
  Ливенский муниципальный район;805372;804238;817023;824452;748265;796064
  Малоархангельский муниципальный район;294326;301923;323195;373178;401187;522590
  Мценский муниципальный район;1043554;913931;1045247;1058725;1093190;1157834
  Новодеревеньковский муниципальный район;394175;393441;396067;402331;392473;397202
  Новосильский муниципальный район;240372;255138;264749;301403;291813;299363
  Покровский муниципальный район;745794;704252;810313;859921;897378;996759
  Свердловский муниципальный район;403014;406810;411374;442434;409125;507709
  Сосковский муниципальный район;138932;127002;128823;148719;124070;140004
  Троснянский муниципальный район;427874;549970;617779;624542;621057;640251
  Урицкий муниципальный район;714163;736634;742265;732197;709607;759168
  Хотынецкий муниципальный район;598502;645712;640050;648135;644619;641879
  Шаблыкинский муниципальный район;221421;243132;231087;237647;231190;243377
