Name;2019;2020;2021;2022;2023;2024
  г. Орел;30,7;31,9;32,6;33;34;34,6
  г. Ливны;24;24,2;24,6;26,9;27,1;27,5
  г. Мценск;33,2;33,7;34,4;34,1;34,7;35,3
  Орловский муниципальный район;25,2;26,6;27,4;27,2;28,7;29,6
  Болховский муниципальный район;30,2;30,7;31,5;33;33,6;33,9
  Верховский муниципальный район;32,3;33,6;34,3;33,8;34,5;34,9
  Глазуновский муниципальный район;28,6;29,9;30,1;33,5;33,7;34
  Дмитровский муниципальный район;38,9;39,4;40,4;36,9;37,2;38,2
  Должанский муниципальный район;29,8;30,1;30,5;33,9;34,1;34,9
  Залегощенский муниципальный район;29,3;29,5;29,8;34;34;34,2
  Знаменский муниципальный район;25,7;26;26,1;26,9;26,8;27,1
  Колпнянский муниципальный район;29,2;29,7;30,3;29,1;29,5;30
  Краснозоренский муниципальный район;37,5;39;39,7;39;39,5;40
  Кромской муниципальный район;27,4;27,6;27,7;27,2;27,1;27,1
  Корсаковский муниципальный район;32,8;33,2;34,1;34;35;35,6
  Ливенский муниципальный район;27;27,9;28,6;31,6;31,8;32,3
  Малоархангельский муниципальный район;31;31,2;31,7;31,2;31,4;31,6
  Мценский муниципальный район;28;28,8;29,7;30,4;31,3;32,3
  Новодеревеньковский муниципальный район;33,6;34,2;34,7;34,2;34,4;35
  Новосильский муниципальный район;36,8;35,8;36,6;38,8;39,8;40,3
  Покровский муниципальный район;29,5;29,5;29,8;31,7;32;32,6
  Свердловский муниципальный район;28,9;29,5;30,2;31,9;32;32,1
  Сосковский муниципальный район;31,5;32;33,3;31,9;32,2;32,9
  Троснянский муниципальный район;38,1;38,7;39,6;42,3;42,6;42,7
  Урицкий муниципальный район;20,1;20,6;20,5;23,3;23,4;23,6
  Хотынецкий муниципальный район;31,3;31,1;31,5;36,9;37,3;37,6
  Шаблыкинский муниципальный район;28;28,6;29,3;32;32,5;33
