Name;2019;2020;2021;2022;2023;2024
  г. Орел;31843,5;25988,9;29933,4;37032,8;30036,9;37238,1
  г. Ливны;10853,5;6085,7;12177,4;7361,7;18370,1;38894,4
  г. Мценск;3942,7;3814,6;17335;10916,1;19478,2;37730,4
  Орловский муниципальный район;60965,5;49712;69195,5;68437,4;60595,1;94680,8
  Болховский муниципальный район;19678,8;12993,9;10650,1;9712,3;14690,7;23739,3
  Верховский муниципальный район;15027,5;32071,2;66407,8;48819,4;21666,3;73168,2
  Глазуновский муниципальный район;13734;17874,7;52959,8;70904,4;34398,9;83772,6
  Дмитровский муниципальный район;78057,4;392942,5;379769,1;315556,1;139991;122497
  Должанский муниципальный район;49152,2;37926,3;30126,5;38107,8;41432,8;44476,1
  Залегощенский муниципальный район;22264,1;24254,7;46851,1;68385,1;37965,7;37471,7
  Знаменский муниципальный район;844;3876;2633,1;2727,9;3738,8;4851,1
  Колпнянский муниципальный район;66808,4;33808;71141,7;31672,4;49475,6;51301,5
  Краснозоренский муниципальный район;30272,4;51363;101985,1;62045,6;56266,3;42550,1
  Кромской муниципальный район;207621,9;365932;154205;58090,6;32690;114602,7
  Корсаковский муниципальный район;2882,6;247,4;3118,7;6832,7;5968,1;1650,2
  Ливенский муниципальный район;29297,2;37128;55970;63366,7;72474,7;55765,4
  Малоархангельский муниципальный район;18517,5;29487,9;57608,6;69323,8;43359,2;22695,5
  Мценский муниципальный район;24048,6;28686,4;60462,6;105446,9;104835,7;177557,7
  Новодеревеньковский муниципальный район;28535,2;14707,9;28973,9;98197,1;34389,4;47698,8
  Новосильский муниципальный район;1922,7;12915,5;2180,3;5203,3;26997;69682,5
  Покровский муниципальный район;63598,5;18953,3;22205;57199,3;43330,3;39636,7
  Свердловский муниципальный район;33173,3;23521,3;57108,2;43280,4;29622,2;44550
  Сосковский муниципальный район;241198,5;66607,9;5993,6;8035,8;8967,4;8728
  Троснянский муниципальный район;15325,2;175514,8;73401,4;26887,2;46444,7;67633
  Урицкий муниципальный район;6348,5;9187,8;10716,6;8896,3;16944,6;15259,5
  Хотынецкий муниципальный район;22654,1;15826,1;18242,6;47061,8;41711,6;34983,4
  Шаблыкинский муниципальный район;41173,9;128688,7;483074,5;556620,5;239896,4;209109,9
